#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
1.1900000000e+03     2.4862993989e-10    8.2264026347e-11    1.6636591355e-10
1.1950000000e+03     5.2336251906e-10    2.1144051952e-11    5.0221846711e-10
1.2000000000e+03     2.0561134668e-10    2.0152914232e-11    1.8545843245e-10
1.2050000000e+03     1.3897384161e-08    1.2102185073e-10    1.3776362310e-08
1.2100000000e+03     4.6614737502e-10    1.4420108736e-11    4.5172726628e-10
1.2150000000e+03     1.8159690057e-10    5.2824630241e-11    1.2877227033e-10
1.2200000000e+03     1.4680458351e-10    1.8471899102e-11    1.2833268441e-10
1.2250000000e+03     3.0861446749e-10    5.6005108647e-11    2.5260935884e-10
1.2300000000e+03     5.6048145234e-09    1.7279110042e-10    5.4320234230e-09
1.2350000000e+03     1.1097754317e-09    5.3511417130e-10    5.7466126041e-10
1.2400000000e+03     1.7904761389e-10    5.6908416293e-11    1.2213919760e-10
1.2450000000e+03     1.4436629707e-10    2.6681018062e-11    1.1768527901e-10
1.2500000000e+03     4.6129379902e-10    4.2328804043e-11    4.1896499497e-10
1.2550000000e+03     1.2733455510e-09    3.9695928402e-11    1.2336496226e-09
1.2600000000e+03     2.3350130856e-07    9.0544295055e-08    1.4295701350e-07
1.2650000000e+03     6.1626697417e-10    1.9582335216e-10    4.2044362200e-10
1.2700000000e+03     4.8567409015e-10    1.3498181761e-10    3.5069227254e-10
1.2750000000e+03     1.3172318306e-10    1.8761296555e-11    1.1296188650e-10
1.2800000000e+03     4.6282151768e-09    1.5626922756e-09    3.0655229011e-09
1.2850000000e+03     8.6875055546e-11    1.9988565621e-11    6.6886489926e-11
1.2900000000e+03     5.4312325419e-10    2.0563791869e-10    3.3748533550e-10
1.2950000000e+03     1.6957583045e-10    5.3490010560e-11    1.1608581989e-10
1.3000000000e+03     1.1653682905e-09    4.8964097011e-11    1.1164041935e-09
1.3050000000e+03     5.1714419976e-10    2.9905002089e-11    4.8723919767e-10
1.3100000000e+03     4.6480621009e-09    4.2447010112e-11    4.6056150908e-09
1.3150000000e+03     5.0152721001e-08    3.9133799583e-11    5.0113587201e-08
1.3200000000e+03     6.4703379003e-10    1.4623012491e-10    5.0080366512e-10
1.3250000000e+03     2.6635687909e-10    1.2254502970e-10    1.4381184939e-10
1.3300000000e+03     5.3163298082e-10    2.6558177444e-10    2.6605120638e-10
1.3350000000e+03     1.4111001521e-09    7.2717340518e-10    6.8392674694e-10
1.3400000000e+03     1.0326477640e-10    2.0449176491e-11    8.2815599908e-11
1.3450000000e+03     3.0684818518e-10    9.7595319269e-11    2.0925286591e-10
1.3500000000e+03     4.9985693133e-09    2.2498922583e-10    4.7735800875e-09
1.3550000000e+03     1.8444894644e-10    5.3559870635e-11    1.3088907581e-10
1.3600000000e+03     2.0629763865e-10    8.5853106957e-11    1.2044453169e-10
1.3650000000e+03     2.7240465062e-10    5.1189556240e-11    2.2121509438e-10
1.3700000000e+03     9.5565799591e-11    2.5135053029e-11    7.0430746563e-11
1.3750000000e+03     5.3958574113e-10    1.1549827048e-10    4.2408747065e-10
1.3800000000e+03     1.0590150523e-10    1.1671270186e-11    9.4230235048e-11
1.3850000000e+03     9.4033960732e-11    3.4444489284e-11    5.9589471448e-11
1.3900000000e+03     1.6459453459e-10    3.3100693311e-11    1.3149384128e-10
1.3950000000e+03     7.6350314362e-11    1.6770589901e-11    5.9579724461e-11
1.4000000000e+03     2.3520506943e-08    2.3978029321e-11    2.3496528914e-08
1.4050000000e+03     9.4157248154e-11    1.3168015245e-11    8.0989232909e-11
1.4100000000e+03     1.4960404166e-10    3.2930498258e-11    1.1667354340e-10
1.4150000000e+03     4.6135295576e-10    1.6611168001e-10    2.9524127575e-10
1.4200000000e+03     7.5710044488e-11    1.6519515845e-11    5.9190528643e-11
1.4250000000e+03     1.5485066547e-10    1.3857061741e-11    1.4099360373e-10
1.4300000000e+03     1.0536192902e-10    4.1705217481e-11    6.3656711541e-11
1.4350000000e+03     5.5472015081e-11    1.8823632629e-11    3.6648382452e-11
1.4400000000e+03     3.3292074641e-10    4.8305647208e-11    2.8461509920e-10
1.4450000000e+03     4.6134691059e-11    1.1641032113e-11    3.4493658947e-11
1.4500000000e+03     1.6715610751e-09    8.7793947757e-10    7.9362159753e-10
1.4550000000e+03     2.8167920178e-10    1.0498405656e-10    1.7669514522e-10
1.4600000000e+03     2.5717389494e-08    5.2283563970e-11    2.5665105930e-08
1.4650000000e+03     6.1360268189e-10    2.5955038223e-10    3.5405229966e-10
1.4700000000e+03     3.0059934823e-10    6.5201762003e-11    2.3539758623e-10
1.4750000000e+03     9.0316761364e-11    2.1628655234e-11    6.8688106130e-11
1.4800000000e+03     1.1862759627e-10    4.8018399168e-11    7.0609197105e-11
1.4850000000e+03     4.2067601385e-11    1.1607487368e-11    3.0460114018e-11
1.4900000000e+03     3.2602227652e-11    8.0549584674e-12    2.4547269185e-11
1.4950000000e+03     2.6199086529e-10    7.2097693136e-12    2.5478109597e-10
1.5000000000e+03     1.5474265198e-10    5.3774088841e-11    1.0096856314e-10
1.5050000000e+03     1.9925977497e-10    9.2774663379e-11    1.0648511159e-10
1.5100000000e+03     1.7849648116e-08    9.8141638481e-09    8.0354842677e-09
1.5150000000e+03     5.7767936357e-11    2.0906054503e-11    3.6861881854e-11
1.5200000000e+03     1.2838562726e-10    4.0895626244e-11    8.7490001017e-11
1.5250000000e+03     4.7861937387e-11    1.7369194450e-11    3.0492742937e-11
1.5300000000e+03     2.2201616456e-10    9.2928901051e-11    1.2908726351e-10
1.5350000000e+03     9.5922328812e-11    3.7648755324e-11    5.8273573489e-11
1.5400000000e+03     1.3888558253e-09    6.5476432474e-11    1.3233793928e-09
1.5450000000e+03     2.6255509980e-10    8.1879636353e-11    1.8067546345e-10
1.5500000000e+03     5.2949013919e-10    2.3786916515e-10    2.9162097404e-10
1.5550000000e+03     6.3719393513e-10    9.5504726407e-11    5.4168920872e-10
1.5600000000e+03     5.0096823770e-11    9.2618490987e-12    4.0834974671e-11
1.5650000000e+03     9.2801478146e-11    1.9174454019e-11    7.3627024128e-11
1.5700000000e+03     2.5591138830e-10    4.6272772680e-11    2.0963861562e-10
1.5750000000e+03     2.4765895855e-09    1.0727930166e-11    2.4658616554e-09
1.5800000000e+03     6.3927831527e-10    2.3984860759e-10    3.9942970768e-10
1.5850000000e+03     2.8747002484e-10    6.4807734946e-11    2.2266228989e-10
1.5900000000e+03     4.0700133743e-11    1.0007413513e-11    3.0692720230e-11
1.5950000000e+03     7.5738375262e-07    6.3657268458e-11    7.5732009536e-07
1.6000000000e+03     3.9569227313e-09    1.7919160429e-11    3.9390035709e-09
1.6050000000e+03     4.9745726958e-11    1.2012623564e-11    3.7733103395e-11
1.6100000000e+03     2.8825762422e-10    1.4523161105e-10    1.4302601316e-10
1.6150000000e+03     2.3354918219e-10    7.9729986799e-11    1.5381919539e-10
1.6200000000e+03     2.5260709085e-10    8.3954284681e-11    1.6865280617e-10
1.6250000000e+03     3.0181998333e-10    1.5310224084e-10    1.4871774250e-10
1.6300000000e+03     3.8751958329e-09    1.3248616451e-11    3.8619472164e-09
1.6350000000e+03     1.3715739682e-10    4.3635640132e-11    9.3521756691e-11
1.6400000000e+03     4.9756290537e-11    8.8628561854e-12    4.0893434352e-11
1.6450000000e+03     9.2162960316e-11    1.6736139264e-11    7.5426821052e-11
1.6500000000e+03     4.2998814200e-11    6.1499540363e-12    3.6848860164e-11
1.6550000000e+03     4.0445181067e-11    7.5138773654e-12    3.2931303702e-11
1.6600000000e+03     6.4457551720e-10    1.5439467685e-10    4.9018084035e-10
1.6650000000e+03     5.3369223023e-11    1.0145838601e-11    4.3223384422e-11
1.6700000000e+03     3.1498900070e-10    7.8653339467e-12    3.0712366676e-10
1.6750000000e+03     2.3360402178e-10    1.1638134873e-10    1.1722267306e-10
1.6800000000e+03     6.5869535741e-11    1.1150542044e-11    5.4718993698e-11
1.6850000000e+03     2.1797806021e-09    7.3391251990e-10    1.4458680822e-09
1.6900000000e+03     4.2992183047e-11    7.3510195148e-12    3.5641163532e-11
1.6950000000e+03     3.3711834146e-10    1.1737575174e-10    2.1974258972e-10
