#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
3.2625000000e+03     7.8876782036e-07    2.4719270337e-07    5.4157511699e-07
3.2750000000e+03     7.8627822138e-07    2.4289032292e-07    5.4338789846e-07
3.2875000000e+03     7.8549756443e-07    2.3929656106e-07    5.4620100337e-07
3.3000000000e+03     7.8624440195e-07    2.3639986040e-07    5.4984454155e-07
3.3125000000e+03     7.8837909426e-07    2.3418279591e-07    5.5419629836e-07
3.3250000000e+03     7.9182021987e-07    2.3262168512e-07    5.5919853475e-07
3.3375000000e+03     7.9653717709e-07    2.3168636540e-07    5.6485081169e-07
3.3500000000e+03     8.0252090504e-07    2.3134014092e-07    5.7118076412e-07
3.3625000000e+03     8.0973941760e-07    2.3153989916e-07    5.7819951844e-07
3.3750000000e+03     8.1808837376e-07    2.3223639269e-07    5.8585198107e-07
3.3875000000e+03     8.2734850157e-07    2.3337467831e-07    5.9397382326e-07
3.4000000000e+03     8.3716099772e-07    2.3489470151e-07    6.0226629620e-07
3.4125000000e+03     8.4702911111e-07    2.3673201043e-07    6.1029710068e-07
3.4250000000e+03     8.5634946994e-07    2.3881858037e-07    6.1753088957e-07
3.4375000000e+03     8.6447114026e-07    2.4108372754e-07    6.2338741272e-07
3.4500000000e+03     8.7077491301e-07    2.4345508895e-07    6.2731982406e-07
3.4625000000e+03     8.7476091611e-07    2.4585964516e-07    6.2890127096e-07
3.4750000000e+03     8.7613017902e-07    2.4822476305e-07    6.2790541598e-07
3.4875000000e+03     8.7484575317e-07    2.5047923714e-07    6.2436651603e-07
3.5000000000e+03     8.7116150514e-07    2.5255431035e-07    6.1860719479e-07
3.5125000000e+03     8.6561139096e-07    2.5438465753e-07    6.1122673342e-07
3.5250000000e+03     8.5895813682e-07    2.5590931819e-07    6.0304881863e-07
3.5375000000e+03     8.5210677169e-07    2.5707256706e-07    5.9503420463e-07
3.5500000000e+03     8.4599426778e-07    2.5782471389e-07    5.8816955389e-07
3.5625000000e+03     8.4147064307e-07    2.5812282486e-07    5.8334781822e-07
3.5750000000e+03     8.3918855247e-07    2.5793135946e-07    5.8125719301e-07
3.5875000000e+03     8.3951735031e-07    2.5722271631e-07    5.8229463400e-07
3.6000000000e+03     8.4249402754e-07    2.5597768125e-07    5.8651634629e-07
3.6125000000e+03     8.4781792759e-07    2.5418577028e-07    5.9363215731e-07
3.6250000000e+03     8.5488965513e-07    2.5184545897e-07    6.0304419616e-07
3.6375000000e+03     8.6288818302e-07    2.4896428966e-07    6.1392389336e-07
3.6500000000e+03     8.7087484977e-07    2.4555884784e-07    6.2531600192e-07
3.6625000000e+03     8.7790951465e-07    2.4165460040e-07    6.3625491425e-07
3.6750000000e+03     8.8316304617e-07    2.3728559020e-07    6.4587745597e-07
3.6875000000e+03     8.8601164191e-07    2.3249398525e-07    6.5351765666e-07
3.7000000000e+03     8.8610234634e-07    2.2732948419e-07    6.5877286216e-07
3.7125000000e+03     8.8341130428e-07    2.2184858515e-07    6.6156271912e-07
3.7250000000e+03     8.7806606957e-07    2.1611372969e-07    6.6195233988e-07
3.7375000000e+03     8.7065806421e-07    2.1019233815e-07    6.6046572606e-07
3.7500000000e+03     8.6181569417e-07    2.0415575717e-07    6.5765993700e-07
3.7625000000e+03     8.5229992989e-07    1.9807814226e-07    6.5422178763e-07
3.7750000000e+03     8.4288669330e-07    1.9203530040e-07    6.5085139290e-07
3.7875000000e+03     8.3428958176e-07    1.8610351682e-07    6.4818606494e-07
